Name|Address|Phone|Sex|Dept|BirthDate 
Uriel Marshall|P.O. Box 205 7438 Nunc St.|2906189769|M|Psychology|12-16-75 
Burke Henderson|Ap #298-1018 Nibh. Rd.|7238958019|M|Psychology|12-30-66 
Jacob Wiley|Ap #285-3972 Quam Avenue|1703885164|M|Physics|11-27-91 
Brian Rodgers|Ap #810-3931 Auctor Road|7718116244|M|Chemistry|06-02-62 
Rajah Fox|P.O. Box 396 7956 Vitae St.|4743100291|M|SPEA|11-05-61 
Charles Wiggins|P.O. Box 453 4421 Ac St.|4457104625|M|Chemistry|02-06-74 
Drake Hancock|Ap #175-9178 Eget Avenue|3207640202|M|Music|07-25-87 
Cole Butler|P.O. Box 829 4745 Enim St.|2712644710|M|Chemistry|10-11-58
Ray Walls|P.O. Box 206 8071 Et Ave|7205612839|M|Music|01-29-62
Ashton Preston|6402 Metus. Road|4735812017|M|SPEA|01-26-78 
Conan Flynn|624-9015 Felis Av.|2431077326|M|Computer Science|10-01-54 
Linus Dominguez|703 Porta St.|4388970310|M|SPEA|04-24-69 
Wallace Shelton|P.O. Box 630 5491 Facilisis Avenue|4463406386|M|Computer Science|01-08-57 
Carlos Fitzpatrick|583-5971 Magna. Ave|1476900635|M|Physics|08-07-82 
Driscoll Brown|668-4116 Odio St.|9385999659|M|Physics|08-17-63 
Moses Crosby|Ap #396-4406 Magna. Street|1486880730|M|Informatics|04-22-58 
Brian Armstrong|Ap #410-4868 Tristique Street|7601104973|M|Business|06-06-68 
Keaton Workman|Ap #120-4085 Et Road|2206782883|M|SPEA|08-10-73 
Chandler Hurst|975-6966 Semper Ave|3324746804|M|Psychology|05-24-62 
Kamal Vazquez|3488 Sem Street|7302375798|M|Music|09-29-53 
Joel Herman|121-9519 Vel Road|3123506520|M|Business|06-17-89 
Derek Wise|P.O. Box 181 4885 Ipsum St.|4484405621|M|Chemistry|02-07-91 
Channing Simpson|387-2567 Semper Street|9331875619|M|Physics|01-17-76 
Ray Kinney|964 Et Road|3837166597|M|Business|12-16-94 
Porter Long|P.O. Box 602 4803 Tincidunt Ave|6494521882|M|Physics|01-16-58 
Brandon Price|Ap #811-3441 Sollicitudin Av.|9445999834|M|Physics|05-27-51 
Odysseus Perry|6878 Vestibulum. Street|9946785220|M|Psychology|03-03-79 
Aaron Rush|189-2235 Elit Rd.|1641349807|M|Music|01-04-87 
Malcolm Combs|P.O. Box 304 5124 Primis Ave|8789995399|M|Chemistry|04-12-57 
Carter Snider|P.O. Box 125 789 Eleifend Av.|3715291081|M|Psychology|10-12-89 
Lars Jefferson|Ap #846-1766 Mus. Street|1712748991|M|Computer Science|07-22-83 
Herrod Wolfe|P.O. Box 724 196 Ultrices Rd.|8076183391|M|Physics|06-08-78 
Abdul Head|Ap #224-6807 Donec Ave|6684663425|M|Music|05-15-56 
Brock Malone|P.O. Box 296 7245 Sed Street|8939596433|M|Studio Arts|10-26-52 
Jackson Simon|659-7487 Neque. St.|5987666961|M|Business|03-01-61 
Chase Garza|Ap #280-1959 Euismod Road|2347197063|M|Chemistry|12-25-92 
Bert Moody|Ap #728-7345 Tellus. Road|2034258639|M|Business|08-22-90 
Roth Wise|Ap #641-4822 Rutrum Av.|1097727169|M|Studio Arts|07-05-94 
Ezekiel William|7144 A St.|1455005002|M|Chemistry|12-10-53 
Jackson Petersen|P.O. Box 453 8155 Adipiscing Rd.|1289993543|M|Physics|08-26-81 
Nero Harmon|P.O. Box 132 7644 Nulla St.|1584386186|M|Studio Arts|05-17-79 
Travis Best|P.O. Box 908 6673 Interdum. Street|6976771514|M|Business|07-19-57 
Uriel Herrera|8110 Ipsum. Av.|9901876742|M|Biology|09-30-94 
Len Merritt|659-9312 Condimentum Avenue|7575374472|M|Computer Science|07-15-93 
Colby Wright|Ap #641-143 Lorem Road|8625590343|M|Physics|03-14-66 
Salvador Perry|678-9193 A Avenue|3048034380|M|Biology|10-28-67 
Malcolm Sheppard|318-5497 Semper Av.|8185014505|M|Business|09-28-52 
Otto Dominguez|118-5211 Iaculis Ave|8891372213|M|Business|05-03-66 
Elton Buckley|8781 Lorem St.|4258307198|M|Psychology|02-09-57 
Hyatt Rhodes|7968 Amet Street|6898882030|M|Biology|02-13-68 
Tad Anthony|Ap #708-4855 Per St.|4972740628|M|Physics|02-11-71 
Lawrence Wilson|8726 Aliquam Ave|7084736618|M|Physics|07-08-75 
Camden Patterson|P.O. Box 809 9919 Vulputate Road|1777647584|M|Biology|01-13-79
Fulton Rutledge|942-2953 Nec Rd.|3331338004|M|Business|01-30-86 
Brendan Trevino|915-880 Sagittis Street|1449773086|M|Computer Science|01-24-68 
Phelan Britt|P.O. Box 430 1583 Mollis Street|6645749147|M|Business|10-09-88 
Kasper Chapman|Ap #920-8592 Cursus Ave|8192348795|M|SPEA|10-12-83 
Talon Reyes|Ap #440-858 Pede. Avenue|6166957870|M|Psychology|07-06-85 
Walter Mendez|P.O. Box 181 2327 Ligula. Rd.|8073043793|M|Business|06-30-51 
Robert Logan|263-3803 Luctus Ave|5646825646|M|Computer Science|03-03-74 
Hunter Barlow|1940 Auctor St.|5298432078|M|Music|10-31-87 
Kaseem Irwin|8454 Eros. Street|7927932131|M|Informatics|02-01-94 
Amal Ryan|P.O. Box 144 1694 Eget Rd.|6145013292|M|Informatics|11-28-71 
Zane Vazquez|Ap #206-1637 Neque. Road|2722883323|M|Computer Science|10-26-91 
Aristotle Fulton|7682 Luctus Av.|7913023755|M|Biology|05-14-78 
Wylie Burris|295-7450 Orci. Ave|8957726846|M|SPEA|09-27-68 
Kareem Lawson|665-8856 Sed Ave|4336016584|M|SPEA|05-29-52 
Harrison Roth|6109 Augue Ave|2636220566|M|Business|12-09-71 
Dalton Christian|4875 Leo. Street|7655516152|M|Music|10-07-51 
Nissim Parrish|Ap #155-9583 Quam Ave|9427903458|M|Business|10-02-59 
Darius Robinson|P.O. Box 681 1057 Lectus Road|2383377546|M|Informatics|11-18-54 
Rooney Brock|170-3962 Nunc. Rd.|4451564397|M|Studio Arts|07-29-66 
Wang Cote|P.O. Box 379 7293 Hendrerit Rd.|9921364860|M|Music|11-10-62 
Daquan Briggs|P.O. Box 469 8934 Odio Ave|7001799992|M|Studio Arts|10-19-78 
Carson Kramer|Ap #269-4167 Ornare Street|1865735733|M|SPEA|03-08-58 
Lewis Cunningham|P.O. Box 719 967 Gravida Rd.|1973481039|M|SPEA|06-07-66 
Oren Gonzales|886-6248 Consequat Road|1477586210|M|Computer Science|12-09-56 
Kadeem Drake|324-3846 Enim St.|6685289054|M|Studio Arts|11-25-78 
Garrett Bond|281-4790 Ridiculus St.|9282648491|M|Biology|12-31-84 
Kato Strong|P.O. Box 721 1727 Nunc St.|8961352278|M|Informatics|06-01-74 
Nicholas Bartlett|P.O. Box 475 6413 Fames Ave|4582660264|M|Physics|05-06-79 
Aristotle Stanton|Ap #987-868 Quam St.|4718362179|M|Psychology|04-04-86 
Dane Bishop|583 Sit Road|3108111939|M|Physics|04-05-64 
Stephen Mcgee|289-5817 Tellus. Street|5194225307|M|Informatics|10-28-64 
Ivan Merritt|P.O. Box 746 5250 Malesuada Avenue|5097639671|M|Chemistry|06-17-73 
Gabriel Quinn|P.O. Box 220 4310 Et Av.|1048508474|M|Studio Arts|07-19-66 
Uriel Hodges|507-4335 Tincidunt Ave|9261671156|M|Psychology|07-21-80 
Jason Wade|3714 Varius Avenue|4906345616|M|Informatics|02-02-94 
Jasper Sims|1592 In St.|6756599495|M|Physics|05-29-80 
Colby Bartlett|4138 Elit Av.|4895611476|M|Business|10-02-72 
Samson Richardson|465-8390 In Rd.|4264601648|M|Computer Science|04-30-78 
Shad Aguilar|106-7708 Blandit St.|3607449175|M|Studio Arts|12-05-87 
Gil Graham|P.O. Box 553 2553 Nascetur Street|3553279344|M|Music|10-21-73 
Driscoll Barron|Ap #824-7323 Faucibus Road|2086221854|M|Business|06-17-83 
Edan Booth|947-4493 Non Road|7395015978|M|Computer Science|01-08-81 
Amir Ramsey|1144 Tristique Rd.|6559496791|M|Music|11-27-69 
Julian Buckley|144-7526 Lectus. Ave|1829974468|M|SPEA|02-01-60 
Bernard Todd|681-9497 Risus. Av.|9329028317|M|Physics|03-12-67 
Kirk Mooney|3488 Amet Av.|7911519939|M|SPEA|03-17-75 
Declan Weiss|P.O. Box 358 9783 Quis Road|7586855051|M|Biology|02-20-54
Abel Price|345-4197 Accumsan Rd.|8652626495|M|Music|02-09-92 
Kenyon Talley|522-5418 Convallis Av.|4907383809|M|Biology|09-19-66 
Carl Lowe|7767 Felis. Avenue|8252716613|M|Music|04-19-75 
Burton Walters|Ap #595-8649 Tempor Ave|3772554081|M|Informatics|02-21-76 
Gage William|P.O. Box 123 486 Nulla. St.|5771507313|M|Studio Arts|09-15-65 
Thor Kline|676-2470 Litora Street|2722779575|M|Physics|07-10-85 
Bevis Stuart|6311 Faucibus Ave|3085717439|M|SPEA|10-14-93 
Calvin Hewitt|Ap #650-6411 Sed Rd.|6334954811|M|Informatics|05-26-74 
Harlan Ballard|246-3789 Posuere Avenue|4609362602|M|Music|02-02-62 
Alan Campbell|Ap #474-7184 Dolor. Ave|7399735829|M|Music|04-17-69 
Ray Banks|Ap #584-2558 Amet St.|5299972960|M|Studio Arts|07-23-52 
Tobias Middleton|8480 A Av.|8494928117|M|Psychology|01-13-75 
Rogan Vang|Ap #327-8261 Sollicitudin Avenue|3262155095|M|Informatics|08-11-91 
Zachary Rodgers|Ap #959-6882 Tempor Ave|1833666387|M|Psychology|10-10-80 
Charles Keith|167-6619 Nisi. Av.|5844542879|M|Psychology|06-23-61 
Orson Casey|8361 Tempus Road|9873937871|M|Biology|04-05-89 
Barrett Mcbride|Ap #107-6113 Aliquet Av.|7605494114|M|SPEA|03-08-87 
Knox Sheppard|Ap #649-6080 Nisl. St.|6416092146|M|Chemistry|06-29-73 
Cairo Burton|9329 Odio Rd.|4491055571|M|Studio Arts|12-28-53 
Abraham Gordon|1561 Nullam St.|3049943333|M|Chemistry|04-28-69 
David Irwin|531-543 Cras St.|8817047447|M|Psychology|06-12-58 
Thaddeus Charles|Ap #395-7021 Diam. Street|2316405585|M|Business|07-29-68 
Ferdinand Andrews|Ap #369-5859 Orci Road|6529232406|M|Computer Science|10-24-50 
Colt Atkins|P.O. Box 529 7117 Donec Ave|6829484676|M|Computer Science|08-27-59 
Raja Gonzales|P.O. Box 997 9163 Facilisis Avenue|4618377661|M|Computer Science|06-24-51 
Simon Little|661-1869 Tellus Av.|2542478552|M|Biology|11-16-56 
Yoshio Harrison|Ap #593-4709 Velit. Avenue|4389504929|M|SPEA|12-21-50 
Cadman Merritt|P.O. Box 968 9567 Euismod Rd.|8844387273|M|Biology|09-09-91 
Amos Lawrence|204-9539 Sed Street|4603691125|M|Chemistry|06-29-64 
Craig Mercer|3750 Eget Avenue|5978061774|M|Psychology|02-09-61 
Branden Garrett|7339 Ultrices St.|4503547416|M|Physics|05-17-83 
Ulric Bullock|P.O. Box 147 4336 Malesuada Street|4154899924|M|Physics|06-07-65 
Oleg Parks|Ap #855-328 At Avenue|6117558196|M|Chemistry|01-02-93 
Cedric Joyner|3523 Non Rd.|4829625832|M|Music|10-16-61 
Amos Barton|P.O. Box 766 7182 Rutrum Rd.|7336674961|M|Informatics|09-24-78 
Harrison Hughes|6531 Ac St.|2214981327|M|Music|06-26-88 
Ray Langley|P.O. Box 787 8118 Mi Road|6395017166|M|SPEA|04-14-57 
Baker Francis|Ap #937-5777 Amet St.|5373136086|M|Business|02-06-70 
Dustin Dennis|P.O. Box 818 4863 Pharetra. St.|3823475106|M|Chemistry|08-04-85 
Derek Garrett|Ap #984-7685 Vel Rd.|4192620844|M|SPEA|05-27-53 
